#	Title	I Cain't Say No
#	Source Filename	Richard Rodgers, Oscar Hammerstein II - I Cain't Say No.xml
0	4	4
4	4	4
8	4	4
12	4	4
16	4	4
20	2	4
22	2	4
24	4	4
28	4	4
32	4	4
36	4	4
40	4	4
44	2	4
46	2	4
48	4	4
52	4	4
56	4	4
60	4	4
64	2	4
66	2	4
68	2	4
70	2	4
72	2	4
74	2	4
76	2	4
78	2	4
80	2	4
82	2	4
84	2	4
86	2	4
88	2	4
90	2	4
92	2	4
94	2	4
96	2	4
98	2	4
100	2	4
102	2	4
104	2	4
106	2	4
108	2	4
110	2	4
112	2	4
114	2	4
116	2	4
118	2	4
120	2	4
122	2	4
124	2	4
126	2	4
128	2	4
130	2	4
132	2	4
134	2	4
136	2	4
138	2	4
140	2	4
142	2	4
144	2	4
146	2	4
148	2	4
150	2	4
152	2	4
154	2	4
156	2	4
158	2	4
160	2	4
162	2	4
164	2	4
166	2	4
168	2	4
170	2	4
172	2	4
174	2	4
176	2	4
178	2	4
180	2	4
182	2	4
184	2	4
186	2	4
188	4	4
192	4	4
196	4	4
200	4	4
204	4	4
208	4	4
212	4	4
216	4	4
220	4	4
224	4	4
228	4	4
232	4	4
236	4	4
240	4	4
244	4	4
248	2	4
250	2	4
